Map,Agent Picked,Total Wins By Map,Total Maps Played
Fracture,omen,0,1
Fracture,skye,0,1
Fracture,raze,0,1
Fracture,viper,0,1
Fracture,cypher,0,1
Fracture,skye,1,1
Fracture,raze,1,1
Fracture,breach,1,1
Fracture,brimstone,1,1
Fracture,cypher,1,1
Pearl,killjoy,1,1
Pearl,jett,1,1
Pearl,astra,1,1
Pearl,fade,1,1
Pearl,yoru,1,1
Pearl,skye,0,1
Pearl,killjoy,0,1
Pearl,jett,0,1
Pearl,astra,0,1
Pearl,kayo,0,1
Haven,omen,0,1
Haven,raze,0,1
Haven,breach,0,1
Haven,killjoy,0,1
Haven,fade,0,1
Haven,omen,1,1
Haven,skye,1,1
Haven,killjoy,1,1
Haven,jett,1,1
Haven,viper,1,1
Haven,omen,1,1
Haven,breach,1,1
Haven,killjoy,1,1
Haven,jett,1,1
Haven,sova,1,1
Haven,omen,0,1
Haven,raze,0,1
Haven,breach,0,1
Haven,sova,0,1
Haven,harbor,0,1
Lotus,omen,0,1
Lotus,skye,0,1
Lotus,breach,0,1
Lotus,killjoy,0,1
Lotus,jett,0,1
Lotus,omen,1,1
Lotus,raze,1,1
Lotus,breach,1,1
Lotus,killjoy,1,1
Lotus,sova,1,1
Bind,skye,0,1
Bind,raze,0,1
Bind,viper,0,1
Bind,brimstone,0,1
Bind,sage,0,1
Bind,omen,1,1
Bind,skye,1,1
Bind,raze,1,1
Bind,breach,1,1
Bind,viper,1,1
Split,raze,0,1
Split,cypher,0,1
Split,omen,0,1
Split,fade,0,1
Split,sage,0,1
Split,skye,1,1
Split,raze,1,1
Split,astra,1,1
Split,viper,1,1
Split,jett,1,1
Split,skye,1,1
Split,raze,1,1
Split,cypher,1,1
Split,breach,1,1
Split,omen,1,1
Split,skye,0,1
Split,raze,0,1
Split,cypher,0,1
Split,breach,0,1
Split,omen,0,1
Lotus,cypher,0,1
Lotus,breach,0,1
Lotus,sova,0,1
Lotus,brimstone,0,1
Lotus,neon,0,1
Lotus,skye,1,1
Lotus,raze,1,1
Lotus,astra,1,1
Lotus,viper,1,1
Lotus,killjoy,1,1
Pearl,skye,1,1
Pearl,cypher,1,1
Pearl,astra,1,1
Pearl,sova,1,1
Pearl,jett,1,1
Pearl,skye,0,1
Pearl,astra,0,1
Pearl,killjoy,0,1
Pearl,harbor,0,1
Pearl,phoenix,0,1
Haven,jett,0,1
Haven,skye,0,1
Haven,killjoy,0,1
Haven,omen,0,1
Haven,viper,0,1
Haven,jett,1,1
Haven,killjoy,1,1
Haven,sova,1,1
Haven,omen,1,1
Haven,breach,1,1
Pearl,jett,0,1
Pearl,skye,0,1
Pearl,killjoy,0,1
Pearl,astra,0,1
Pearl,kayo,0,1
Pearl,jett,1,1
Pearl,skye,1,1
Pearl,astra,1,1
Pearl,sova,1,1
Pearl,cypher,1,1
Bind,breach,1,1
Bind,chamber,1,1
Bind,raze,1,1
Bind,omen,1,1
Bind,yoru,1,1
Bind,raze,0,1
Bind,brimstone,0,1
Bind,neon,0,1
Bind,viper,0,1
Bind,skye,0,1
Lotus,breach,1,1
Lotus,chamber,1,1
Lotus,raze,1,1
Lotus,omen,1,1
Lotus,jett,1,1
Lotus,breach,0,1
Lotus,brimstone,0,1
Lotus,neon,0,1
Lotus,cypher,0,1
Lotus,sova,0,1
Haven,breach,1,1
Haven,chamber,1,1
